,,,Average Rank,Songs in 250,Entries,%,Average Change
1,ğŸ³,Serbia & Montenegro,84.00,2,2,100.00%,44.00
2,ğŸ‡²ğŸ‡¦,Morocco,86.00,1,1,100.00%,1.00
3,ğŸ‡ºğŸ‡¦,Ukraine,442.14,8,21,38.10%,-4.15
4,ğŸ‡·ğŸ‡¸,Serbia,613.78,5,18,27.78%,-43.18
5,ğŸ‡®ğŸ‡¹,Italy,684.42,15,52,28.85%,8.10
6,ğŸ‡¹ğŸ‡·,TÃ¼rkiye,691.21,6,34,17.65%,5.12
7,ğŸ‡§ğŸ‡¦,Bosnia & Herzegovina,740.21,4,19,21.05%,11.26
8,ğŸ‡¦ğŸ‡±,Albania,748.68,3,22,13.64%,-5.52
9,ğŸ‡µğŸ‡¹,Portugal,749.07,14,57,24.56%,0.59
10,ğŸ‡«ğŸ‡·,France,755.96,13,69,18.84%,-3.03
11,ğŸ‡§ğŸ‡¬,Bulgaria,767.27,4,15,26.67%,-0.87
12,ğŸ‡¬ğŸ‡·,Greece,770.96,12,46,26.09%,-17.42
13,ğŸ‡¸ğŸ‡ª,Sweden,777.51,9,65,13.85%,-40.45
14,ğŸ³,Yugoslavia,799.52,4,27,14.81%,-17.07
15,ğŸ‡¦ğŸ‡²,Armenia,800.94,3,18,16.67%,-47.41
16,ğŸ‡¦ğŸ‡º,Australia,807.55,2,11,18.18%,-58.30
17,ğŸ‡¸ğŸ‡®,Slovenia,823.10,5,31,16.13%,-24.33
18,ğŸ‡«ğŸ‡®,Finland,831.03,13,59,22.03%,-21.12
19,ğŸ‡®ğŸ‡¸,Iceland,841.89,4,38,10.53%,-37.43
20,ğŸ‡²ğŸ‡©,Moldova,844.00,2,20,10.00%,4.10
21,ğŸ‡³ğŸ‡´,Norway,854.30,12,64,18.75%,-29.78
22,ğŸ‡ªğŸ‡ª,Estonia,854.72,3,32,9.38%,-39.55
23,ğŸ‡ªğŸ‡¸,Spain,866.14,8,65,12.31%,-32.86
24,ğŸ‡©ğŸ‡ª,Germany,872.96,10,71,14.08%,-32.54
25,ğŸ‡³ğŸ‡±,Netherlands,888.01,8,67,11.94%,-31.97
26,ğŸ‡­ğŸ‡º,Hungary,902.11,4,19,21.05%,-52.42
27,ğŸ‡­ğŸ‡·,Croatia,907.45,4,31,12.90%,-31.23
28,ğŸ‡©ğŸ‡°,Denmark,912.80,6,55,10.91%,-25.00
29,ğŸ‡¬ğŸ‡§,United Kingdom,927.35,9,68,13.24%,-39.51
30,ğŸ‡¬ğŸ‡ª,Georgia,970.06,2,18,11.11%,-26.12
31,ğŸ‡¨ğŸ‡¾,Cyprus,975.81,4,42,9.52%,-10.98
32,ğŸ‡²ğŸ‡¨,Monaco,988.08,2,24,8.33%,-27.38
33,ğŸ‡±ğŸ‡º,Luxembourg,990.68,6,40,15.00%,-29.13
34,ğŸ‡§ğŸ‡ª,Belgium,997.26,4,68,5.88%,15.36
35,ğŸ‡¸ğŸ‡°,Slovakia,1004.50,1,8,12.50%,-5.13
36,ğŸ‡¨ğŸ‡¿,Czechia,1018.50,1,14,7.14%,-10.69
37,ğŸ‡¨ğŸ‡­,Switzerland,1023.75,9,67,13.43%,-23.17
38,ğŸ‡·ğŸ‡´,Romania,1024.31,1,26,3.85%,-23.54
39,ğŸ‡±ğŸ‡¹,Lithuania,1025.58,4,26,15.38%,-39.64
40,ğŸ‡±ğŸ‡»,Latvia,1029.69,3,26,11.54%,-27.56
41,ğŸ‡²ğŸ‡°,North Macedonia,1039.91,1,23,4.35%,-35.61
42,ğŸ‡®ğŸ‡ª,Ireland,1040.54,5,59,8.47%,-37.91
43,ğŸ‡²ğŸ‡ª,Montenegro,1043.92,2,13,15.38%,34.00
44,ğŸ‡¦ğŸ‡¿,Azerbaijan,1051.61,0,18,0.00%,5.82
45,ğŸ‡®ğŸ‡±,Israel,1057.63,3,49,6.12%,-37.73
46,ğŸ‡·ğŸ‡º,Russia,1057.84,3,25,12.00%,-14.04
47,ğŸ‡µğŸ‡±,Poland,1081.68,1,28,3.57%,15.89
48,ğŸ‡¦ğŸ‡¹,Austria,1111.59,2,58,3.45%,-35.12
49,ğŸ‡¦ğŸ‡©,Andorra,1142.00,0,6,0.00%,-35.83
50,ğŸ‡²ğŸ‡¹,Malta,1155.03,0,38,0.00%,-17.05
51,ğŸ‡¸ğŸ‡²,San Marino,1193.31,2,16,12.50%,12.67
52,ğŸ‡§ğŸ‡¾,Belarus,1250.94,1,17,5.88%,-16.53